FACILITYID,AVGDISCHARGE,JURISDICTI,SAMPLEDRY,PERSISTENTFLOW,PRIORITY
J03-9234-8,0.301604,LAGUNA NIGUEL,NA,Yes,NA
L04-672-1,0.200871,MISSION VIEJO,1,Yes,2
L03-074-2,0.020268,MISSION VIEJO,NA,Yes,2
L03-172-3,NA,MISSION VIEJO,NA,Yes,NA
J07-9022-6,0.001776,MISSION VIEJO,NA,Yes,NA
L01-303-5,0.010906,ORANGE CO,NA,Yes,NA
L01-303-4,0.020775,ORANGE CO,NA,Yes,2
L01-303-3,NA,ORANGE CO,NA,Yes,NA
L01-303-2,0.07,ORANGE CO,NA,Yes,2
L01-303-1,NA,ORANGE CO,NA,Yes,NA
L01-517-8,0,SAN JUAN CAPISTRANO,NA,Unknown,NA
M01-008-1,0,SAN CLEMENTE,NA,Unknown,NA
M01-038-3,0.005304,SAN CLEMENTE,NA,Yes,NA
SC02-072-4,NA,SAN CLEMENTE,NA,Unknown,NA
M00.1-070-6,0,SAN CLEMENTE,NA,Unknown,NA
M01-099-1,0.03559,SAN CLEMENTE,NA,Yes,2
M02-061-7,0.5,SAN CLEMENTE,NA,Yes,NA
L05-503-1,0.057778,SAN JUAN CAPISTRANO,1,Yes,2
L01-766-9,0.173904,SAN JUAN CAPISTRANO,1,Yes,2
L01-749-5,0.008383,SAN JUAN CAPISTRANO,NA,Unknown,NA
L01-404-2,0.06365,ORANGE CO,NA,Yes,NA
L03-141-2,0.005866,MISSION VIEJO,NA,Yes,2
L03-141-3,0.01245,MISSION VIEJO,NA,Yes,2
L01-749-2d,0.081752,SAN JUAN CAPISTRANO,NA,Yes,NA
LC05-11017-2,0.033808,LAGUNA BEACH,NA,Unknown,NA
M01-124-2,0.019404,SAN CLEMENTE,NA,Yes,2
M01-124-4,6e-4,SAN CLEMENTE,NA,Unknown,NA
L05-489-3d,2.136918,ORANGE CO,NA,Yes,NA
M01-038-6,0.013791,SAN CLEMENTE,NA,Yes,2
L04-136-1u (L04P07),0.228296,MISSION VIEJO,NA,Yes,1
L01-335-2,0,ORANGE CO,NA,Unknown,NA
SC10-075-3 (M00S01),0.36,DANA POINT,NA,Unknown,NA
SC09-081-2d,0.039,SAN CLEMENTE,NA,Unknown,NA
M01-168-1d (M00P03),0,DANA POINT,NA,Unknown,NA
M01-168-2d (M00P03),NA,DANA POINT,NA,Unknown,NA
K01-12156-6,0.430708,LAGUNA NIGUEL,NA,Yes,NA
L01-728-8d,0,DANA POINT,NA,Unknown,1
SC11-035-1d,0,DANA POINT,NA,Unknown,1
SC11-035-2d,0,DANA POINT,NA,Unknown,NA
I01-11195-2,0.21825,ALISO VIEJO,NA,Unknown,2
M01-050-7,4e-6,SAN CLEMENTE,NA,Unknown,NA
J03-9216-5,NA,LAGUNA NIGUEL,NA,Yes,NA
L01-399-1,0,ORANGE CO,NA,Unknown,NA
L01-399-2,0.001,ORANGE CO,NA,Unknown,NA
LC01-11480-1,NA,ORANGE CO,NA,Yes,1
SC11-035-3d,0,DANA POINT,NA,Unknown,NA
L01-242-1 (L07P16),NA,ORANGE CO,NA,Yes,1
I01-11503-5,NA,ALISO VIEJO,NA,Unknown,NA
L01-733-7,0.0588,ORANGE CO,NA,Unknown,NA
