Station,date,Sample Type,Field Specific Conductivity,Date,Parameter,Units,Qualifier,Result
L05-489-3,6/16/2022,Total,2537,2022-06-16,d12-Chrysene,ng/L,NA,85
L05-049-1,6/16/2022,Total,2449,2022-06-16,d12-Chrysene,ng/L,NA,78
L02-374-1 (L02P50),6/16/2022,Total,2256,2022-06-16,d12-Chrysene,ng/L,NA,86
L01-404-1,6/16/2022,Total,2302,2022-06-16,d12-Chrysene,ng/L,NA,76
L01-340-1,6/16/2022,Total,1454,2022-06-16,d12-Chrysene,ng/L,NA,91
L02-246-1 (L11P01),6/27/2022,Total,1583,2022-06-27,d12-Chrysene,ng/L,NA,107
L02-641-1,6/27/2022,Total,1248,2022-06-27,d12-Chrysene,ng/L,NA,129
L02-641-2,6/27/2022,Total,1373,2022-06-27,d12-Chrysene,ng/L,NA,128
L01-731-1 (L08TBN2),6/27/2022,Total,2738,2022-06-27,d12-Chrysene,ng/L,NA,128
L02-166-3 (L02P26),6/27/2022,Total,2227,2022-06-27,d12-Chrysene,ng/L,NA,124
L04-672-1,6/29/2022,Total,3758,2022-06-29,d12-Chrysene,ng/L,NA,139
M01-042-1 (M01S01),6/30/2022,Total,26913,2022-06-30,d12-Chrysene,ng/L,NA,95
M02-032-1,6/30/2022,Total,3938,2022-06-30,d12-Chrysene,ng/L,NA,102
SC1-2,6/30/2022,Total,9896,2022-06-30,d12-Chrysene,ng/L,NA,128
M02-085-1 (M02P06),6/30/2022,Total,7636,2022-06-30,d12-Chrysene,ng/L,NA,118
M02-085-2,6/30/2022,Total,3045,2022-06-30,d12-Chrysene,ng/L,NA,117
L03-662-3 (L03P16),8/23/2022,Total,3390,2022-08-23,d12-Chrysene,ng/L,NA,81
L03-214-2 (L03P18),8/23/2022,Total,4320,2022-08-23,d12-Chrysene,ng/L,NA,65
L03-316-3 (L03P12),8/23/2022,Total,4049,2022-08-23,d12-Chrysene,ng/L,NA,80
J01-10004-1 (J01P01),8/18/2022,Total,2077,2022-08-18,d12-Chrysene,ng/L,NA,42
L03-418-8,8/18/2022,Total,2858.53,2022-08-18,d12-Chrysene,ng/L,NA,82
K01-12177-1 (K01P07),8/18/2022,Total,2005,2022-08-18,d12-Chrysene,ng/L,NA,60
J03-9221-1 (J03P02),8/18/2022,Total,4941,2022-08-18,d12-Chrysene,ng/L,NA,82
J01-9224-1 (J01P24),8/18/2022,Total,3289,2022-08-18,d12-Chrysene,ng/L,NA,61
J01-9224-2 (J01P25),8/18/2022,Total,2370,2022-08-18,d12-Chrysene,ng/L,NA,86
J06-9079-1 (J06P03),8/22/2022,Total,2291,2022-08-22,d12-Chrysene,ng/L,NA,86
J06-10011-1 (J06P01),8/22/2022,Total,3121,2022-08-22,d12-Chrysene,ng/L,NA,77
J01-9082-2,8/22/2022,Total,1319,2022-08-22,d12-Chrysene,ng/L,NA,70
L04-672-1,8/23/2022,Total,5222,2022-08-23,d12-Chrysene,ng/L,NA,73
L04-266-5,8/23/2022,Total,4848,2022-08-23,d12-Chrysene,ng/L,NA,72
