Station,Sample Type,Parameter,Qualifier,ResultAvg,Units,JURISDICTI3,Qadj_Qall,LoadQadj_Qall,LoadsPoundsQS,LoadsJurs
L01-731-1 (L08TBN2),Total,PCB030,NA,69,ng/L,RANCHO SANTA MARGARITA,11606237.02728475,800830354.8826478,0.04999416434403816,0.07415327532753604
L02-166-3 (L02P26),Total,PCB030,NA,71.5,ng/L,ORANGE CO,1759.6301883248925,125813.55846522981,7.85427735133825e-6,0.11374288616566804
L02-166-3 (L02P26),Total,PCB030,NA,71.5,ng/L,RANCHO SANTA MARGARITA,311594.45914611226,22279003.828947026,0.0013908316187753028,0.07415327532753604
L04-672-1,Total,PCB030,NA,83.5,ng/L,MISSION VIEJO,665335.962144,55555552.839024,0.00346821698493817,0.04071487042609705
M01-042-1 (M01S01),Total,PCB030,NA,76.5,ng/L,SAN CLEMENTE,9329.904,713737.6560000001,4.455714928266107e-5,0.0167177533468327
M02-032-1,Total,PCB030,NA,57.5,ng/L,SAN CLEMENTE,3628866.1607999997,208659804.246,0.013026195225826586,0.0167177533468327
M02-085-1 (M02P06),Total,PCB030,NA,79,ng/L,ORANGE CO,174.54166027466977,13788.791161698911,8.608053968491413e-7,0.11374288616566804
M02-085-1 (M02P06),Total,PCB030,NA,79,ng/L,SAN CLEMENTE,251732.86631957273,19886896.439246245,0.0012414973568556059,0.0167177533468327
M02-085-2,Total,PCB030,NA,70,ng/L,SAN CLEMENTE,550464.336,38532503.52,0.002405503614867846,0.0167177533468327
L01-726-5,Total,PCB030,NA,74,ng/L,DANA POINT,111410.6356577293,8244387.0386719685,5.146798420092647e-4,0.019522140765512754
L01-726-5,Total,PCB030,NA,74,ng/L,SAN JUAN CAPISTRANO,7448.763165562618,551208.4742516337,3.441079235014873e-5,0.013479586819412559
L04-266-5,Total,PCB112,NA,69,ng/L,MISSION VIEJO,4000029.057504,276002004.967776,0.017230227989628387,0.046019402331136106
I01-11343-2 (I02P18),Total,PCB112,NA,67,ng/L,LAGUNA WOODS,26583.60972323406,1781101.8514566822,1.1119046391322723e-4,0.007048793404023605
L03-418-8,Total,PCB112,NA,92,ng/L,LAGUNA NIGUEL,188453.84949148304,17337754.15321644,0.001082359734752375,0.058126878979760106
L03-418-8,Total,PCB112,NA,92,ng/L,MISSION VIEJO,1719639.2671055028,158206812.57370627,0.009876520463956873,0.046019402331136106
