JURISDICTI3,Sample Type,Parameter,Units,LoadsPoundsQUns,LoadQUns_j
LAGUNA WOODS,Total,Fluoranthene,ng/L,0,0
LAGUNA WOODS,Total,Fluorene,ng/L,0,0
LAGUNA WOODS,Total,Heptachlor,ng/L,0,0
LAGUNA WOODS,Total,Heptachlor Epoxide,ng/L,0,0
LAGUNA WOODS,Total,"Indeno[1,2,3-cd]pyrene",ng/L,0,0
LAGUNA WOODS,Total,Malathion,ng/L,0,0
LAGUNA WOODS,Total,Merphos,ng/L,0,0
LAGUNA WOODS,Total,Methoxychlor,ng/L,0,0
LAGUNA WOODS,Total,Methyl Parathion,ng/L,0,0
LAGUNA WOODS,Total,Mevinphos (Phosdrin),ng/L,0,0
LAGUNA WOODS,Total,Mirex,ng/L,0,0
LAGUNA WOODS,Total,Naphthalene,ng/L,0,0
LAGUNA WOODS,Total,Phenanthrene,ng/L,0,0
LAGUNA WOODS,Total,Phorate,ng/L,0,0
LAGUNA WOODS,Total,Pyrene,ng/L,0,0
LAGUNA WOODS,Total,Tetrachlorvinphos (Stirofos),ng/L,0,0
LAGUNA WOODS,Total,Tokuthion (Prothiofos),ng/L,0,0
LAGUNA WOODS,Total,Toxaphene,ng/L,0,0
LAGUNA WOODS,Total,trans-Nonachlor,ng/L,0,0
LAGUNA WOODS,Total,Trichloronate,ng/L,0,0
LAGUNA WOODS,Total,"Arsenic, Total",ug/L,0,0
LAGUNA WOODS,Dissolved,"Arsenic, Total",ug/L,0,0
LAGUNA WOODS,Total,"Cadmium, Total",ug/L,0,0
LAGUNA WOODS,Dissolved,"Cadmium, Total",ug/L,0,0
LAGUNA WOODS,Total,"Calcium, Total",ug/L,0,0
LAGUNA WOODS,Total,Chromium 6+,ug/L,0,0
LAGUNA WOODS,Dissolved,Chromium 6+,ug/L,0,0
LAGUNA WOODS,Total,"Chromium, Total",ug/L,0,0
LAGUNA WOODS,Dissolved,"Chromium, Total",ug/L,0,0
LAGUNA WOODS,Total,"Copper, Total",ug/L,0,0
LAGUNA WOODS,Dissolved,"Copper, Total",ug/L,0,0
LAGUNA WOODS,Total,Dissolved Organic Carbon,ug/L,0,0
LAGUNA WOODS,Total,"Hardness as CaCO3, Total",ug/L,0,0
LAGUNA WOODS,Total,"Iron, Total",ug/L,0,0
LAGUNA WOODS,Dissolved,"Iron, Total",ug/L,0,0
LAGUNA WOODS,Total,"Lead, Total",ug/L,0,0
LAGUNA WOODS,Dissolved,"Lead, Total",ug/L,0,0
LAGUNA WOODS,Total,"Magnesium, Total",ug/L,0,0
LAGUNA WOODS,Total,"Manganese, Total",ug/L,0,0
LAGUNA WOODS,Dissolved,"Manganese, Total",ug/L,0,0
